t,temp,humd
115122,25.5,39.8
115123,25.5,39.9
115124,25.5,39.9
115125,25.5,39.9
115126,25.5,40.0
115127,25.5,40.0
115128,25.5,39.9
115129,25.5,39.9
115130,25.5,39.9
115132,25.5,39.9
115133,25.5,39.9
115134,25.5,39.9
115135,25.5,39.9
115136,25.5,39.9
115137,25.5,39.9
115138,25.5,39.9
115139,25.5,39.9
115140,25.5,39.9
115141,25.5,40.0
115142,25.5,40.0
115143,25.5,40.0
115144,25.5,40.0
115145,25.5,40.0
115146,25.5,40.0
115147,25.5,40.0
115149,25.5,40.0
115150,25.5,40.0
115151,25.5,40.0
115152,25.5,40.0
115153,25.5,40.0
115154,25.5,40.0
115155,25.5,40.0
115156,25.5,40.0
115157,25.5,40.0
115158,25.5,40.0
115159,25.5,40.0
115200,25.5,39.9
115201,25.5,40.0
115202,25.4,40.0
115203,25.5,40.1
115204,25.5,40.1
115206,25.5,40.1
115207,25.5,40.1
115208,25.5,40.1
115209,25.5,40.1
115210,25.5,40.1
115211,25.5,40.0
115212,25.5,40.0
115213,25.5,40.0
115214,25.5,40.0
115215,25.4,40.0
115216,25.5,40.0
115217,25.4,40.0
115218,25.4,40.0
115219,25.4,40.0
115220,25.4,40.0
115221,25.4,40.0
115223,25.4,40.0
115224,25.4,40.0
115225,25.4,40.0
115226,25.4,40.0
115227,25.4,40.0
115228,25.4,40.0
115229,25.4,40.0
115230,25.5,40.1
115231,25.4,40.1
115232,25.4,40.1
115233,25.4,40.0
115234,25.4,40.1
115235,25.4,40.1
115236,25.4,40.1
115237,25.4,40.1
115238,25.4,40.1
115240,25.4,40.1
115241,25.4,40.1
115242,25.4,40.1
115243,25.4,40.1
115244,25.4,40.1
115245,25.4,40.1
115246,25.4,40.1
115247,25.4,40.0
115248,25.4,40.0
115249,25.4,40.0
115250,25.4,40.0
115251,25.4,40.0
115252,25.4,40.0
115253,25.4,40.0
115254,25.4,40.0
115255,25.4,40.0
115257,25.4,40.0
115258,25.4,40.0
115259,25.4,40.0
115300,25.4,40.0
115301,25.4,40.0
115302,25.4,40.0
115303,25.4,40.1
115304,25.4,40.1
115305,25.4,40.1
115306,25.4,40.1
115307,25.4,40.0
115308,25.4,40.1
115309,25.4,40.1
115310,25.4,40.1
115311,25.4,40.0
115312,25.4,40.0
115314,25.4,40.0
115315,25.4,40.0
115316,25.4,40.0
115317,25.4,40.1
115318,25.4,40.1
115319,25.4,40.0
115320,25.4,40.0
115321,25.4,40.0
115322,25.4,40.1
115323,25.4,40.1
115324,25.4,40.1
115325,25.4,40.1
115326,25.4,40.1
115327,25.4,40.0
115328,25.4,40.0
115330,25.4,40.0
115331,25.4,40.0
115332,25.4,40.0
115333,25.4,40.0
115334,25.4,40.0
115335,25.4,40.0
115336,25.4,39.9
115337,25.4,40.0
115338,25.4,40.0
115339,25.4,40.0
115340,25.4,40.0
115341,25.4,40.0
115342,25.4,40.0
115343,25.4,40.0
115344,25.4,40.0
115345,25.4,40.0
115347,25.4,40.0
115348,25.4,40.0
115349,25.4,40.0
115350,25.4,39.9
115351,25.4,39.9
115352,25.4,39.9
115353,25.4,39.9
115354,25.4,39.9
115355,25.4,39.9
115356,25.4,39.9
115357,25.4,40.0
115358,25.4,40.0
115359,25.4,40.0
115400,25.4,40.0
115401,25.4,40.0
115402,25.4,40.0
115404,25.4,40.0
115405,25.4,40.0
115406,25.4,40.0
115407,25.4,40.0
115408,25.4,40.1
115409,25.4,40.1
115410,25.4,40.0
115411,25.4,40.0
115412,25.4,40.1
115413,25.4,40.1
115414,25.4,40.1
115415,25.4,40.1
115416,25.4,40.1
115417,25.4,40.1
115418,25.4,40.2
115419,25.4,40.2
115421,25.4,40.1
115422,25.4,40.1
115423,25.4,40.1
115424,25.4,40.1
115425,25.4,40.1
115426,25.4,40.2
115427,25.4,40.2
115428,25.4,40.1
115429,25.4,40.1
115430,25.4,40.1
115431,25.4,40.1
115432,25.4,40.1
115433,25.4,40.1
115434,25.4,40.1
115435,25.4,40.1
115436,25.4,40.1
115438,25.4,40.0
115439,25.3,40.0
115440,25.4,40.0
115441,25.4,40.0
115442,25.4,40.0
115443,25.4,40.0
115444,25.4,40.1
115445,25.4,40.1
115446,25.4,40.1
115447,25.4,40.1
115448,25.4,40.1
115449,25.4,40.2
115450,25.4,40.1
115451,25.4,40.1
115452,25.4,40.1
115453,25.4,40.1
115455,25.4,40.1
115456,25.4,40.1
115457,25.4,40.1
115458,25.4,40.1
115459,25.4,40.1
115500,25.4,40.1
115501,25.4,40.1
115502,25.4,40.1
115503,25.3,40.1
115504,25.4,40.1
115505,25.4,40.1
115506,25.4,40.1
115507,25.4,40.1
115508,25.4,40.1
115509,25.4,40.1
115510,25.4,40.1
115512,25.3,40.1
115513,25.4,40.1
115514,25.4,40.1
115515,25.3,40.1
115516,25.3,40.1
115517,25.3,40.1
115518,25.3,40.0
115519,25.3,40.0
115520,25.3,40.0
115521,25.3,40.0
115522,25.3,40.0
115523,25.3,40.0
115524,25.3,40.0
115525,25.3,40.0
115526,25.3,40.1
115527,25.3,40.1
115529,25.3,40.1
115530,25.3,40.1
115531,25.3,40.1
115532,25.3,40.1
115533,25.3,40.1
115534,25.3,40.1
115535,25.3,40.1
115536,25.3,40.1
115537,25.3,40.1
115538,25.3,40.1
115539,25.3,40.1
115540,25.3,40.1
115541,25.3,40.2
115542,25.3,40.2
115543,25.3,40.2
115544,25.3,40.1
115546,25.3,40.1
115547,25.3,40.1
115548,25.3,40.1
115549,25.3,40.1
115550,25.3,40.1
115551,25.3,40.1
115552,25.3,40.1
115553,25.3,40.1
115554,25.3,40.1
115555,25.3,40.1
115556,25.3,40.1
115557,25.3,40.1
115558,25.3,40.1
115559,25.3,40.1
115600,25.3,40.1
115601,25.3,40.1
115603,25.3,40.1
115604,25.3,40.1
115605,25.3,40.1
115606,25.3,40.1
115607,25.3,40.1
115608,25.3,40.2
115609,25.3,40.2
115610,25.3,40.2
115611,25.3,40.2
115612,25.3,40.2
115613,25.3,40.2
115614,25.3,40.3
115615,25.3,40.3
115616,25.3,40.2
115617,25.3,40.2
115619,25.3,40.3
115620,25.3,40.3
115621,25.3,40.2
115622,25.3,40.2
115623,25.3,40.2
115624,25.3,40.1
115625,25.3,40.1
115626,25.3,40.1
115627,25.3,40.1
115628,25.3,40.2
115629,25.3,40.2
115630,25.3,40.2
115631,25.3,40.2
115632,25.3,40.2
115633,25.3,40.2
115634,25.3,40.2
115636,25.3,40.2
115637,25.3,40.2
115638,25.3,40.2
115639,25.3,40.2
115640,25.3,40.2
115641,25.3,40.2
115642,25.3,40.2
115643,25.3,40.2
115644,25.3,40.2
115645,25.3,40.2
115646,25.3,40.2
115647,25.3,40.2
115648,25.3,40.2
115649,25.3,40.2
115650,25.3,40.2
115651,25.3,40.2
115653,25.3,40.2
115654,25.3,40.2
115655,25.3,40.2
115656,25.3,40.2
115657,25.3,40.2
115658,25.3,40.3
115659,25.3,40.2
115700,25.3,40.2
115701,25.3,40.2
115702,25.3,40.2
115703,25.3,40.2
115704,25.3,40.3
115705,25.3,40.3
115706,25.3,40.3
115707,25.3,40.3
115708,25.3,40.3
115710,25.3,40.3
115711,25.3,40.3
115712,25.3,40.3
115713,25.3,40.3
115714,25.3,40.3
115715,25.3,40.2
115716,25.3,40.2
115717,25.3,40.2
115718,25.3,40.2
115719,25.3,40.3
115720,25.3,40.3
115721,25.2,40.3
115722,25.3,40.3
115723,25.2,40.3
115724,25.2,40.3
115725,25.2,40.3
115727,25.2,40.3
115728,25.2,40.2
115729,25.3,40.2
115730,25.2,40.3
115731,25.2,40.3
115732,25.2,40.3
115733,25.2,40.3
115734,25.2,40.2
115735,25.2,40.2
115736,25.2,40.3
115737,25.2,40.3
115738,25.2,40.3
115739,25.2,40.3
115740,25.2,40.4
115741,25.2,40.4
115742,25.2,40.3
115744,25.2,40.3
115745,25.2,40.4
115746,25.2,40.4
115747,25.2,40.4
115748,25.2,40.4
115749,25.2,40.4
115750,25.2,40.4
115751,25.2,40.4
115752,25.2,40.4
115753,25.2,40.4
115754,25.2,40.4
115755,25.2,40.4
115756,25.2,40.4
115757,25.2,40.4
115758,25.2,40.4
115759,25.2,40.4
115801,25.2,40.4
115802,25.2,40.4
115803,25.2,40.4
115804,25.2,40.4
115805,25.2,40.4
115806,25.2,40.4
115807,25.2,40.4
115808,25.2,40.4
115809,25.2,40.4
115810,25.2,40.3
115811,25.2,40.3
115812,25.2,40.3
115813,25.2,40.3
115814,25.2,40.3
115815,25.2,40.3
115816,25.2,40.4
115818,25.2,40.4
115819,25.2,40.4
115820,25.2,40.4
115821,25.2,40.4
115822,25.2,40.4
115823,25.2,40.4
115824,25.2,40.4
115825,25.2,40.4
115826,25.2,40.4
115827,25.2,40.4
115828,25.2,40.3
115829,25.2,40.3
115830,25.2,40.3
115831,25.2,40.3
115832,25.2,40.3
